iter	Passed	Remaining
0	140	140040
1	140	70271
2	141	47123
3	142	35554
4	143	28533
5	144	23859
6	145	20620
7	145	18098
8	146	16129
9	146	14548
10	147	13256
11	148	12190
12	148	11295
13	149	10531
14	150	9855
15	150	9259
16	151	8735
17	151	8273
18	152	7859
19	152	7486
20	153	7148
21	154	6847
22	154	6570
23	155	6321
24	156	6089
25	156	5874
26	157	5674
27	157	5482
28	158	5306
29	159	5148
30	159	5001
31	160	4861
32	161	4727
33	162	4603
34	162	4482
35	163	4368
36	163	4261
37	164	4160
38	164	4063
39	165	3973
40	166	3885
41	166	3804
42	167	3726
43	168	3650
44	168	3580
45	169	3510
46	169	3443
47	170	3378
48	170	3318
49	171	3258
50	172	3201
51	172	3145
52	173	3092
53	173	3042
54	174	2991
55	174	2944
56	175	2898
57	175	2854
58	176	2811
59	176	2769
60	177	2735
61	178	2696
62	178	2657
63	179	2620
64	179	2584
65	180	2548
66	180	2514
67	181	2482
68	181	2452
69	182	2421
70	182	2392
71	183	2363
72	183	2335
73	184	2307
74	184	2280
75	185	2254
76	186	2229
77	186	2206
78	187	2183
79	187	2160
80	188	2138
81	189	2117
82	189	2093
83	190	2072
84	190	2053
85	191	2033
86	191	2014
87	192	1996
88	193	1977
89	193	1959
90	194	1942
91	194	1923
92	195	1907
93	196	1891
94	196	1873
95	197	1857
96	197	1842
97	198	1828
98	199	1813
99	199	1798
100	200	1783
101	201	1769
102	201	1756
103	202	1743
104	202	1729
105	203	1717
106	204	1705
107	204	1692
108	205	1680
109	206	1668
110	206	1656
111	207	1645
112	208	1633
113	208	1622
114	209	1611
115	209	1600
116	210	1589
117	211	1579
118	211	1568
119	212	1558
120	213	1548
121	213	1537
122	214	1527
123	214	1518
124	215	1508
125	216	1499
126	216	1488
127	217	1480
128	217	1471
129	218	1462
130	219	1453
131	219	1445
132	220	1437
133	221	1428
134	221	1420
135	222	1411
136	222	1403
137	223	1395
138	223	1387
139	224	1378
140	225	1371
141	225	1363
142	226	1355
143	226	1348
144	227	1341
145	228	1334
146	228	1327
147	229	1320
148	229	1312
149	230	1305
150	230	1298
151	231	1292
152	232	1286
153	233	1280
154	233	1273
155	234	1267
156	235	1262
157	235	1256
158	236	1250
159	237	1244
160	237	1237
161	238	1231
162	238	1225
163	239	1220
164	239	1214
165	240	1208
166	241	1202
167	241	1197
168	242	1192
169	243	1187
170	243	1182
171	244	1177
172	245	1172
173	245	1167
174	246	1162
175	247	1157
176	248	1153
177	248	1148
178	249	1143
179	249	1138
180	250	1133
181	251	1128
182	251	1124
183	252	1119
184	253	1115
185	253	1110
186	254	1105
187	254	1100
188	255	1096
189	256	1091
190	256	1087
191	257	1082
192	257	1078
193	258	1073
194	259	1069
195	259	1065
196	260	1061
197	261	1057
198	261	1053
199	262	1048
200	262	1044
201	263	1041
202	264	1037
203	264	1033
204	265	1029
205	266	1025
206	266	1021
207	267	1017
208	267	1013
209	268	1009
210	269	1006
211	269	1002
212	270	998
213	270	994
214	271	990
215	271	986
216	272	982
217	272	978
218	273	974
219	273	970
220	274	967
221	275	964
222	275	960
223	276	957
224	276	953
225	277	949
226	277	946
227	278	942
228	278	938
229	279	934
230	279	931
231	280	927
232	280	924
233	281	921
234	282	918
235	282	914
236	283	911
237	283	907
238	283	903
239	284	900
240	284	896
241	285	893
242	286	891
243	286	888
244	287	885
245	287	882
246	288	879
247	289	876
248	289	873
249	290	870
250	290	867
251	291	864
252	291	861
253	292	859
254	293	856
255	293	853
256	294	850
257	294	847
258	295	844
259	295	841
260	296	839
261	296	836
262	297	833
263	298	831
264	298	828
265	299	825
266	299	822
267	300	819
268	300	817
269	301	814
270	301	811
271	302	809
272	303	807
273	303	804
274	304	801
275	304	799
276	305	796
277	305	794
278	306	791
279	306	789
280	307	786
281	308	784
282	308	782
283	309	779
284	309	777
285	310	774
286	310	772
287	311	769
288	311	767
289	312	764
290	312	762
291	313	760
292	314	757
293	314	755
294	315	753
295	315	750
296	316	748
297	316	746
298	317	743
299	317	741
300	318	739
301	319	737
302	319	735
303	320	733
304	320	731
305	321	728
306	321	726
307	322	724
308	322	722
309	323	720
310	324	718
311	324	716
312	325	714
313	326	712
314	326	710
315	327	708
316	327	706
317	328	703
318	328	701
319	329	699
320	330	698
321	330	696
322	331	694
323	332	692
324	332	691
325	333	689
326	334	687
327	334	685
328	335	684
329	336	682
330	336	680
331	337	678
332	337	676
333	338	674
334	338	672
335	339	670
336	339	668
337	340	666
338	340	664
339	341	663
340	342	661
341	342	659
342	343	657
343	343	655
344	344	653
345	344	651
346	345	650
347	346	648
348	346	646
349	347	644
350	347	642
351	348	641
352	348	639
353	349	637
354	349	635
355	350	633
356	351	632
357	351	630
358	352	629
359	352	627
360	353	625
361	354	623
362	354	622
363	355	620
364	355	618
365	356	616
366	356	615
367	357	613
368	358	612
369	358	610
370	359	608
371	359	607
372	360	605
373	360	603
374	361	601
375	361	600
376	362	598
377	362	597
378	363	595
379	364	593
380	364	592
381	365	590
382	365	588
383	366	587
384	366	585
385	367	584
386	367	582
387	368	581
388	368	579
389	369	577
390	370	576
391	370	574
392	371	573
393	371	571
394	372	570
395	372	568
396	373	567
397	374	566
398	374	564
399	375	563
400	375	561
401	376	559
402	376	558
403	377	556
404	377	555
405	378	553
406	379	552
407	379	551
408	380	549
409	380	548
410	381	546
411	382	545
412	382	543
413	383	542
414	383	540
415	384	539
416	384	537
417	385	536
418	385	535
419	386	533
420	386	532
421	387	530
422	387	529
423	388	527
424	389	526
425	389	525
426	390	523
427	390	522
428	391	520
429	391	519
430	392	518
431	393	516
432	393	515
433	394	513
434	394	512
435	395	511
436	395	509
437	396	508
438	397	507
439	397	505
440	398	504
441	398	503
442	398	501
443	399	500
444	399	498
445	400	497
446	401	496
447	401	495
448	402	493
449	402	492
450	403	490
451	403	489
452	404	488
453	404	486
454	405	485
455	406	484
456	406	483
457	407	482
458	408	480
459	408	479
460	409	478
461	409	476
462	410	475
463	410	474
464	411	472
465	411	471
466	412	470
467	412	469
468	413	467
469	413	466
470	414	465
471	414	463
472	415	462
473	415	461
474	416	460
475	417	459
476	417	458
477	418	456
478	418	455
479	419	454
480	419	453
481	420	451
482	421	450
483	421	449
484	422	448
485	423	447
486	423	446
487	424	445
488	424	443
489	425	442
490	425	441
491	426	440
492	427	439
493	427	438
494	428	436
495	428	435
496	429	434
497	430	433
498	430	432
499	431	431
500	431	430
501	432	428
502	433	427
503	433	426
504	434	425
505	434	424
506	435	423
507	436	422
508	436	421
509	437	420
510	437	418
511	438	417
512	439	416
513	439	415
514	440	414
515	441	413
516	441	412
517	442	411
518	442	410
519	443	409
520	444	408
521	444	407
522	445	406
523	446	405
524	446	404
525	447	403
526	448	402
527	448	401
528	449	400
529	450	399
530	451	398
531	451	397
532	452	396
533	453	395
534	453	394
535	454	393
536	455	392
537	455	391
538	456	390
539	457	389
540	457	388
541	458	387
542	459	386
543	459	385
544	460	384
545	461	383
546	461	382
547	462	381
548	463	380
549	463	379
550	464	378
551	465	377
552	465	376
553	466	375
554	467	374
555	467	373
556	468	372
557	468	371
558	469	370
559	470	369
560	470	368
561	471	367
562	471	366
563	472	365
564	473	364
565	473	363
566	474	362
567	474	361
568	475	360
569	476	359
570	476	358
571	477	357
572	478	356
573	478	355
574	479	354
575	480	353
576	480	352
577	481	351
578	482	350
579	483	349
580	483	348
581	484	347
582	484	346
583	485	345
584	486	344
585	486	343
586	487	342
587	487	341
588	488	340
589	489	339
590	489	339
591	490	338
592	491	337
593	491	336
594	492	335
595	493	334
596	493	333
597	494	332
598	495	331
599	496	330
600	496	329
601	497	328
602	498	328
603	498	327
604	499	326
605	500	325
606	500	324
607	501	323
608	502	322
609	502	321
610	503	320
611	504	319
612	504	318
613	505	317
614	506	316
615	506	315
616	507	315
617	508	314
618	508	313
619	509	312
620	509	311
621	510	310
622	511	309
623	511	308
624	512	307
625	513	306
626	513	305
627	514	304
628	515	303
629	515	302
630	516	301
631	516	300
632	517	299
633	517	298
634	518	298
635	519	297
636	519	296
637	520	295
638	520	294
639	521	293
640	522	292
641	522	291
642	523	290
643	524	289
644	524	288
645	525	287
646	526	287
647	526	286
648	527	285
649	528	284
650	528	283
651	529	282
652	530	281
653	530	280
654	531	279
655	532	278
656	532	278
657	533	277
658	533	276
659	534	275
660	535	274
661	535	273
662	536	272
663	537	271
664	537	270
665	538	270
666	539	269
667	539	268
668	540	267
669	540	266
670	541	265
671	542	264
672	542	263
673	543	262
674	544	261
675	544	261
676	545	260
677	545	259
678	546	258
679	546	257
680	547	256
681	548	255
682	548	254
683	549	253
684	550	252
685	550	252
686	551	251
687	552	250
688	552	249
689	553	248
690	554	247
691	554	246
692	555	246
693	556	245
694	556	244
695	557	243
696	557	242
697	558	241
698	559	240
699	559	239
700	560	239
701	561	238
702	561	237
703	562	236
704	562	235
705	563	234
706	564	233
707	564	232
708	565	232
709	566	231
710	566	230
711	567	229
712	567	228
713	568	227
714	569	226
715	569	225
716	570	225
717	571	224
718	571	223
719	572	222
720	573	221
721	573	220
722	574	219
723	574	219
724	575	218
725	575	217
726	576	216
727	577	215
728	577	214
729	578	213
730	579	213
731	579	212
732	580	211
733	580	210
734	581	209
735	581	208
736	582	207
737	583	207
738	583	206
739	584	205
740	584	204
741	585	203
742	586	202
743	586	201
744	587	201
745	587	200
746	588	199
747	589	198
748	589	197
749	590	196
750	590	195
751	591	195
752	592	194
753	592	193
754	593	192
755	594	191
756	594	190
757	595	190
758	595	189
759	596	188
760	596	187
761	597	186
762	598	185
763	598	185
764	599	184
765	600	183
766	600	182
767	601	181
768	601	180
769	602	179
770	602	179
771	603	178
772	604	177
773	604	176
774	605	175
775	605	174
776	606	174
777	606	173
778	607	172
779	607	171
780	608	170
781	609	169
782	609	168
783	610	168
784	611	167
785	611	166
786	612	165
787	613	164
788	613	164
789	614	163
790	614	162
791	615	161
792	616	160
793	616	160
794	617	159
795	617	158
796	618	157
797	618	156
798	619	155
799	620	155
800	620	154
801	621	153
802	622	152
803	622	151
804	623	150
805	623	150
806	624	149
807	624	148
808	625	147
809	626	146
810	626	146
811	627	145
812	627	144
813	628	143
814	628	142
815	629	141
816	630	141
817	630	140
818	631	139
819	631	138
820	632	137
821	633	137
822	633	136
823	634	135
824	634	134
825	635	133
826	635	133
827	636	132
828	637	131
829	637	130
830	638	129
831	638	129
